d_alpha d_delta R
0 0 1.4061
360 0.0091554377 1.4061
0.0010571789 3.1221825e-12 1.4061
0.0010571789 0.0091554377 1.4061
0.0021143578 4.6924294e-12 1.4061
0.0021143578 0.0091554377 1.4061
0.0031715367 4.6924251e-12 1.4061
0.0031715367 0.0091554377 1.4061
0.0042287155 3.1221701e-12 1.4061
0.0042287155 0.0091554377 1.4061
0.0052858944 3.4915991e-15 1.4061
0.0052858944 0.0091554377 1.4061
359.99947 0.00091554377 1.4061
359.99947 0.0082398939 1.4061
0.00052858944 0.00091554378 1.4061
0.00052858944 0.0082398939 1.4061
0.0015857683 0.00091554378 1.4061
0.0015857683 0.0082398939 1.4061
0.0026429472 0.00091554378 1.4061
0.0026429472 0.0082398939 1.4061
0.0037001261 0.00091554378 1.4061
0.0037001261 0.0082398939 1.4061
0.004757305 0.00091554377 1.4061
0.004757305 0.0082398939 1.4061
0.0058144839 0.00091554377 1.4061
0.0058144839 0.0082398939 1.4061
359.99894 0.0018310876 1.4061
359.99894 0.0073243502 1.4061
8.1920608e-15 0.0018310876 1.4061
4.6814818e-15 0.0073243502 1.4061
0.0010571789 0.0018310876 1.4061
0.0010571789 0.0073243502 1.4061
0.0021143578 0.0018310876 1.4061
0.0021143578 0.0073243502 1.4061
0.0031715367 0.0018310876 1.4061
0.0031715367 0.0073243502 1.4061
0.0042287155 0.0018310876 1.4061
0.0042287155 0.0073243501 1.4061
0.0052858944 0.0018310876 1.4061
0.0052858944 0.0073243501 1.4061
0.0063430733 0.0018310875 1.4061
0.0063430733 0.0073243501 1.4061
359.99841 0.0027466313 1.4061
359.99841 0.0064088064 1.4061
359.99947 0.0027466313 1.4061
359.99947 0.0064088064 1.4061
0.00052858944 0.0027466313 1.4061
0.00052858944 0.0064088064 1.4061
0.0015857683 0.0027466313 1.4061
0.0015857683 0.0064088064 1.4061
0.0026429472 0.0027466313 1.4061
0.0026429472 0.0064088064 1.4061
0.0037001261 0.0027466313 1.4061
0.0037001261 0.0064088064 1.4061
0.004757305 0.0027466313 1.4061
0.004757305 0.0064088064 1.4061
0.0058144839 0.0027466313 1.4061
0.0058144839 0.0064088064 1.4061
0.0068716628 0.0027466313 1.4061
0.0068716628 0.0064088064 1.4061
359.99789 0.0036621751 1.4061
359.99789 0.0054932626 1.4061
359.99894 0.0036621751 1.4061
359.99894 0.0054932626 1.4061
360 0.0036621751 1.4061
360 0.0054932626 1.4061
0.0010571789 0.0036621751 1.4061
0.0010571789 0.0054932626 1.4061
0.0042287155 0.0036621751 1.4061
0.0042287155 0.0054932626 1.4061
0.0052858944 0.0036621751 1.4061
0.0052858944 0.0054932626 1.4061
0.0063430733 0.0036621751 1.4061
0.0063430733 0.0054932626 1.4061
0.0074002522 0.0036621751 1.4061
0.0074002522 0.0054932626 1.4061
359.99736 0.0045777189 1.4061
359.99841 0.0045777189 1.4061
359.99947 0.0045777189 1.4061
0.00052858944 0.0045777189 1.4061
0.004757305 0.0045777189 1.4061
0.0058144839 0.0045777189 1.4061
0.0068716628 0.0045777188 1.4061
0.0079288416 0.0045777188 1.4061
0.0026429472 0.0045777189 0.4687
0.002963162 0.004762595 0.4687
0.0026429472 0.0049474711 0.4687
0.0023227324 0.004762595 0.4687
0.0023227324 0.0043928428 0.4687
0.0026429472 0.0042079667 0.4687
0.002963162 0.0043928428 0.4687
0.0031480381 0.0050828098 0.4687
0.0028278233 0.0052676859 0.4687
0.0024580711 0.0052676859 0.4687
0.0021378563 0.0050828098 0.4687
0.0019529802 0.004762595 0.4687
0.0019529802 0.0043928428 0.4687
0.0021378563 0.0040726279 0.4687
0.0024580711 0.0038877518 0.4687
0.0028278233 0.0038877518 0.4687
0.0031480381 0.0040726279 0.4687
0.0033329143 0.0043928428 0.4687
0.0033329143 0.004762595 0.4687
0.0074002522 0.021972738 1.4061
359.99894 0.021972738 1.4061
359.99049 0.021972738 1.4061
359.98414 0.021972738 1.4061
359.98414 0.016479574 1.4061
359.98414 0.0091553554 1.4061
359.98414 8.1966244e-08 1.4061
359.99471 0.021972738 3.290274
359.98414 0.012817465 3.290274
